"Statistics name :","2020 Population Census Reference Table : Result with Imputation Result with Imputation on 2020 Population Census"
"Table Number :","2-5"
"Title :","[Result with Imputation by Labour Force Status, Industry, Occupation and Employment status] Population (Aged 15 and over) by Sex and Labour force status and employment status - Metropolitan Areas"
"Implementation date :","2020","Oct."
"Cities, Towns and Villages :","-"

"***","Data not available"
"-","Data not available"

"","","","","","","","","","/Tabulated variable Code","2020_01","2020_01","2020_01","2020_01","2020_01","2020_01","2020_01","2020_01","2020_01","2020_01","2020_01","2020_01","2020_01","2020_01","2020_01","2020_01","2020_01"
"","","","","","","","","","/Tabulated variable Auxiliary Code","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"","","","","","","","","","/Tabulated variable","Population[people]","Population[people]","Population[people]","Population[people]","Population[people]","Population[people]","Population[people]","Population[people]","Population[people]","Population[people]","Population[people]","Population[people]","Population[people]","Population[people]","Population[people]","Population[people]","Population[people]"
"","","","","","","","","","/Labour force status and employment status Code","0","1","11","111","112","113","114","12","2","21","22","23","R1","R11","R12","R13","R14"
"","","","","","","","","","/Labour force status and employment status Auxiliary Code","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Time Code","Time Auxiliary Code","Time","Metropolitan Areas Code","Metropolitan Areas Auxiliary Code","Metropolitan Areas","Sex Code","Sex Auxiliary Code","Sex","/Labour force status and employment status","Total","Population in labour force","Employed persons","(Employed persons) Mostly worked","(Employed persons) Worked besides doing housework","(Employed persons) Worked besides attending school","(Employed persons) Absent from work","Unemployed","Population not in labour force","Did housework","Attending school","Others","(Special count) Employees (including Board member of company, etc.)","(Special count) Employees (including Board member of company, etc.), Mostly worked","(Special count) Employees (including Board member of company, etc.), Worked besides doing housework","(Special count) Employees (including Board member of company, etc.), Worked besides attending school","(Special count) Employees (including Board member of company, etc.), Absent from work"
"2020000000","","2020","09364","","Nogi-machi","0","","Total","","21,992","13,073","12,489","10,429","1,612","179","269","584","8,919","3,390","1,030","4,499","11,104","9,428","1,291","176","209"
"2020000000","","2020","09364","","Nogi-machi","1","","Male","","10,861","7,495","7,092","6,698","150","93","151","403","3,366","446","501","2,419","6,242","5,962","90","91","99"
"2020000000","","2020","09364","","Nogi-machi","2","","Female","","11,131","5,578","5,397","3,731","1,462","86","118","181","5,553","2,944","529","2,080","4,862","3,466","1,201","85","110"
"2020000000","","2020","09384","","Shioya-machi","0","","Total","","9,439","5,778","5,549","4,734","638","31","146","229","3,661","1,077","383","2,201","4,382","3,872","367","30","113"
"2020000000","","2020","09384","","Shioya-machi","1","","Male","","4,654","3,268","3,106","2,920","90","16","80","162","1,386","135","196","1,055","2,388","2,284","39","15","50"
"2020000000","","2020","09384","","Shioya-machi","2","","Female","","4,785","2,510","2,443","1,814","548","15","66","67","2,275","942","187","1,146","1,994","1,588","328","15","63"
"2020000000","","2020","09386","","Takanezawa-machi","0","","Total","","25,410","17,141","16,647","14,360","1,814","111","362","494","8,269","2,888","1,276","4,105","14,548","12,837","1,302","111","298"
"2020000000","","2020","09386","","Takanezawa-machi","1","","Male","","13,239","10,338","10,020","9,644","153","47","176","318","2,901","328","631","1,942","8,780","8,537","72","47","124"
"2020000000","","2020","09386","","Takanezawa-machi","2","","Female","","12,171","6,803","6,627","4,716","1,661","64","186","176","5,368","2,560","645","2,163","5,768","4,300","1,230","64","174"
"2020000000","","2020","09411","","Nakagawa-machi","0","","Total","","13,904","8,398","8,026","6,928","921","34","143","372","5,506","1,755","522","3,229","6,240","5,595","505","34","106"
"2020000000","","2020","09411","","Nakagawa-machi","1","","Male","","7,007","4,848","4,587","4,356","131","19","81","261","2,159","269","277","1,613","3,461","3,342","51","19","49"
"2020000000","","2020","09411","","Nakagawa-machi","2","","Female","","6,897","3,550","3,439","2,572","790","15","62","111","3,347","1,486","245","1,616","2,779","2,253","454","15","57"
"2020000000","","2020","38002","","Matsuyama Metropolitan Areas","0","","Total","","585,173","353,752","339,887","281,325","43,398","6,516","8,648","13,865","231,421","78,836","33,100","119,485","295,451","248,876","33,181","6,478","6,916"
"2020000000","","2020","38002","","Matsuyama Metropolitan Areas","1","","Male","","269,701","187,810","179,512","168,059","3,974","3,242","4,237","8,298","81,891","7,746","17,242","56,903","152,276","144,047","2,246","3,222","2,761"
"2020000000","","2020","38002","","Matsuyama Metropolitan Areas","2","","Female","","315,472","165,942","160,375","113,266","39,424","3,274","4,411","5,567","149,530","71,090","15,858","62,582","143,175","104,829","30,935","3,256","4,155"
"2020000000","","2020","38201","","Matsuyama-shi","0","","Total","","425,772","259,292","248,564","204,956","31,340","5,545","6,723","10,728","166,480","58,473","25,014","82,993","220,700","184,605","25,103","5,515","5,477"
"2020000000","","2020","38201","","Matsuyama-shi","1","","Male","","195,352","137,126","130,788","122,001","2,722","2,835","3,230","6,338","58,226","5,437","13,210","39,579","113,560","106,887","1,673","2,822","2,178"
"2020000000","","2020","38201","","Matsuyama-shi","2","","Female","","230,420","122,166","117,776","82,955","28,618","2,710","3,493","4,390","108,254","53,036","11,804","43,414","107,140","77,718","23,430","2,693","3,299"
"2020000000","","2020","38207","","Ozu-shi","0","","Total","","35,454","20,719","20,114","17,328","2,306","50","430","605","14,735","4,248","1,549","8,938","16,270","14,494","1,418","50","308"
"2020000000","","2020","38207","","Ozu-shi","1","","Male","","16,750","11,224","10,838","10,316","282","33","207","386","5,526","524","841","4,161","8,512","8,265","110","33","104"
"2020000000","","2020","38207","","Ozu-shi","2","","Female","","18,704","9,495","9,276","7,012","2,024","17","223","219","9,209","3,724","708","4,777","7,758","6,229","1,308","17","204"
"2020000000","","2020","38210","","Iyo-shi","0","","Total","","30,716","18,879","18,241","15,175","2,499","188","379","638","11,837","3,948","1,489","6,400","14,569","12,520","1,594","186","269"
"2020000000","","2020","38210","","Iyo-shi","1","","Male","","14,091","10,006","9,618","9,097","218","78","225","388","4,085","381","738","2,966","7,455","7,156","98","76","125"
"2020000000","","2020","38210","","Iyo-shi","2","","Female","","16,625","8,873","8,623","6,078","2,281","110","154","250","7,752","3,567","751","3,434","7,114","5,364","1,496","110","144"
"2020000000","","2020","38215","","Toon-shi","0","","Total","","29,321","17,231","16,669","13,732","2,205","359","373","562","12,090","3,702","1,910","6,478","14,424","12,148","1,642","358","276"
"2020000000","","2020","38215","","Toon-shi","1","","Male","","13,822","9,138","8,804","8,249","224","143","188","334","4,684","428","910","3,346","7,409","7,051","112","142","104"
"2020000000","","2020","38215","","Toon-shi","2","","Female","","15,499","8,093","7,865","5,483","1,981","216","185","228","7,406","3,274","1,000","3,132","7,015","5,097","1,530","216","172"
"2020000000","","2020","38386","","Kumakogen-cho","0","","Total","","6,765","3,626","3,520","2,942","518","5","55","106","3,139","856","217","2,066","2,466","2,143","275","5","43"
"2020000000","","2020","38386","","Kumakogen-cho","1","","Male","","3,187","2,031","1,949","1,829","89","2","29","82","1,156","143","115","898","1,321","1,261","39","2","19"
"2020000000","","2020","38386","","Kumakogen-cho","2","","Female","","3,578","1,595","1,571","1,113","429","3","26","24","1,983","713","102","1,168","1,145","882","236","3","24"
"2020000000","","2020","38401","","Masaki-cho","0","","Total","","25,590","15,010","14,422","12,079","1,870","177","296","588","10,580","3,656","1,332","5,592","12,750","10,854","1,473","175","248"
"2020000000","","2020","38401","","Masaki-cho","1","","Male","","11,847","8,136","7,779","7,391","160","82","146","357","3,711","358","661","2,692","6,734","6,461","85","80","108"
"2020000000","","2020","38401","","Masaki-cho","2","","Female","","13,743","6,874","6,643","4,688","1,710","95","150","231","6,869","3,298","671","2,900","6,016","4,393","1,388","95","140"
"2020000000","","2020","38402","","Tobe-cho","0","","Total","","17,851","10,744","10,360","8,384","1,574","167","235","384","7,107","2,333","983","3,791","8,471","7,013","1,107","166","185"
"2020000000","","2020","38402","","Tobe-cho","1","","Male","","8,210","5,702","5,460","5,143","130","58","129","242","2,508","236","471","1,801","4,274","4,071","66","57","80"
"2020000000","","2020","38402","","Tobe-cho","2","","Female","","9,641","5,042","4,900","3,241","1,444","109","106","142","4,599","2,097","512","1,990","4,197","2,942","1,041","109","105"
"2020000000","","2020","38422","","Uchiko-cho","0","","Total","","13,704","8,251","7,997","6,729","1,086","25","157","254","5,453","1,620","606","3,227","5,801","5,099","569","23","110"
"2020000000","","2020","38422","","Uchiko-cho","1","","Male","","6,442","4,447","4,276","4,033","149","11","83","171","1,995","239","296","1,460","3,011","2,895","63","10","43"
"2020000000","","2020","38422","","Uchiko-cho","2","","Female","","7,262","3,804","3,721","2,696","937","14","74","83","3,458","1,381","310","1,767","2,790","2,204","506","13","67"
"2020000000","","2020","46002","","Kagoshima Metropolitan Areas","0","","Total","","915,045","548,515","525,805","443,613","62,428","6,815","12,949","22,710","366,530","119,998","52,363","194,169","462,051","396,005","48,570","6,772","10,704"
"2020000000","","2020","46002","","Kagoshima Metropolitan Areas","1","","Male","","419,080","287,415","273,896","258,090","6,427","3,541","5,838","13,519","131,665","14,678","26,510","90,477","234,544","223,354","3,624","3,517","4,049"
"2020000000","","2020","46002","","Kagoshima Metropolitan Areas","2","","Female","","495,965","261,100","251,909","185,523","56,001","3,274","7,111","9,191","234,865","105,320","25,853","103,692","227,507","172,651","44,946","3,255","6,655"
"2020000000","","2020","46201","","Kagoshima-shi","0","","Total","","479,842","293,970","281,777","235,377","33,753","5,216","7,431","12,193","185,872","64,191","29,753","91,928","253,842","214,655","27,799","5,189","6,199"
"2020000000","","2020","46201","","Kagoshima-shi","1","","Male","","216,661","151,645","144,697","135,651","3,001","2,753","3,292","6,948","65,016","6,623","15,230","43,163","127,304","120,349","1,878","2,738","2,339"
"2020000000","","2020","46201","","Kagoshima-shi","2","","Female","","263,181","142,325","137,080","99,726","30,752","2,463","4,139","5,245","120,856","57,568","14,523","48,765","126,538","94,306","25,921","2,451","3,860"
"2020000000","","2020","46204","","Makurazaki-shi","0","","Total","","17,950","10,014","9,610","8,207","1,137","18","248","404","7,936","2,235","758","4,943","7,943","6,920","801","18","204"
"2020000000","","2020","46204","","Makurazaki-shi","1","","Male","","8,098","5,075","4,806","4,546","124","9","127","269","3,023","280","437","2,306","3,823","3,656","67","9","91"
"2020000000","","2020","46204","","Makurazaki-shi","2","","Female","","9,852","4,939","4,804","3,661","1,013","9","121","135","4,913","1,955","321","2,637","4,120","3,264","734","9","113"
"2020000000","","2020","46210","","Ibusuki-shi","0","","Total","","34,339","19,901","19,186","16,536","2,148","67","435","715","14,438","3,707","1,392","9,339","14,189","12,528","1,264","64","333"
"2020000000","","2020","46210","","Ibusuki-shi","1","","Male","","15,663","10,232","9,763","9,337","187","32","207","469","5,431","483","646","4,302","6,799","6,562","86","30","121"
"2020000000","","2020","46210","","Ibusuki-shi","2","","Female","","18,676","9,669","9,423","7,199","1,961","35","228","246","9,007","3,224","746","5,037","7,390","5,966","1,178","34","212"
"2020000000","","2020","46214","","Tarumizu-shi","0","","Total","","12,380","6,773","6,467","5,545","755","12","155","306","5,607","1,545","361","3,701","5,193","4,615","453","12","113"
"2020000000","","2020","46214","","Tarumizu-shi","1","","Male","","5,650","3,583","3,391","3,203","92","10","86","192","2,067","212","165","1,690","2,624","2,532","33","10","49"
"2020000000","","2020","46214","","Tarumizu-shi","2","","Female","","6,730","3,190","3,076","2,342","663","2","69","114","3,540","1,333","196","2,011","2,569","2,083","420","2","64"
